HydroGp,Species,Year,direction,n,prob
Group 1,BB,2015,Higher,2004,50.1
Group 1,BB,2016,Higher,2103,52.575
Group 1,BB,2018,Higher,2182,54.55
Group 3,BB,2015,Higher,3012,75.3
Group 3,BB,2016,Higher,2678,66.95
Group 3,BB,2018,Higher,1929,48.225
Group 3,Cooba,2015,Higher,3055,76.375
Group 3,Cooba,2016,Higher,3132,78.3
Group 3,Cooba,2018,Higher,2945,73.625
Group 3,RRG,2015,Higher,3058,76.45
Group 3,RRG,2016,Higher,2765,69.125
Group 3,RRG,2018,Higher,1791,44.775
Group 5,RRG,2015,Higher,3245,81.125
Group 5,RRG,2016,Higher,2985,74.625
Group 5,RRG,2018,Higher,2116,52.9
Group 1,BB,2015,Lower,1996,49.9
Group 1,BB,2016,Lower,1897,47.425
Group 1,BB,2018,Lower,1818,45.45
Group 3,BB,2015,Lower,988,24.7
Group 3,BB,2016,Lower,1322,33.05
Group 3,BB,2018,Lower,2071,51.775
Group 3,Cooba,2015,Lower,945,23.625
Group 3,Cooba,2016,Lower,868,21.7
Group 3,Cooba,2018,Lower,1055,26.375
Group 3,RRG,2015,Lower,942,23.55
Group 3,RRG,2016,Lower,1235,30.875
Group 3,RRG,2018,Lower,2209,55.225
Group 5,RRG,2015,Lower,755,18.875
Group 5,RRG,2016,Lower,1015,25.375
Group 5,RRG,2018,Lower,1884,47.1
Group 1,BB,2015,Same,0,0
Group 1,BB,2016,Same,0,0
Group 1,BB,2018,Same,0,0
Group 3,BB,2015,Same,0,0
Group 3,BB,2016,Same,0,0
Group 3,BB,2018,Same,0,0
Group 3,Cooba,2015,Same,0,0
Group 3,Cooba,2016,Same,0,0
Group 3,Cooba,2018,Same,0,0
Group 3,RRG,2015,Same,0,0
Group 3,RRG,2016,Same,0,0
Group 3,RRG,2018,Same,0,0
Group 5,RRG,2015,Same,0,0
Group 5,RRG,2016,Same,0,0
Group 5,RRG,2018,Same,0,0
