time,Year,Species,HydroGp,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
-1.5,2015,BB,Group 2,4e3,4e3,0.37,0.38,0.12,0.69,0.57,0.57 (0.12 to 0.69)
-1.5,2015,BB,Group 1,4e3,4e3,0.36,0.38,0.13,0.66,0.53,0.53 (0.13 to 0.66)
-1.5,2015,BB,Group 3,4e3,4e3,0.56,0.55,0.24,0.83,0.59,0.59 (0.24 to 0.83)
-1.5,2015,Cooba,Group 2,4e3,4e3,0.37,0.38,0.11,0.7,0.58,0.58 (0.11 to 0.7)
-1.5,2015,Cooba,Group 3,4e3,4e3,0.62,0.6,0.16,0.96,0.8,0.8 (0.16 to 0.96)
-1.5,2015,RRG,Group 2,4e3,4e3,0.32,0.34,0.07,0.67,0.6,0.6 (0.07 to 0.67)
-1.5,2015,RRG,Group 3,4e3,4e3,0.56,0.55,0.11,0.94,0.83,0.83 (0.11 to 0.94)
-1.5,2015,RRG,Group 5,4e3,4e3,0.6,0.59,0.22,0.91,0.69,0.69 (0.22 to 0.91)
-0.5,2016,BB,Group 2,4e3,4e3,0.49,0.5,0.2,0.8,0.6,0.6 (0.2 to 0.8)
-0.5,2016,BB,Group 1,4e3,4e3,0.52,0.51,0.23,0.79,0.56,0.56 (0.23 to 0.79)
-0.5,2016,BB,Group 3,4e3,4e3,0.62,0.61,0.29,0.88,0.59,0.59 (0.29 to 0.88)
-0.5,2016,Cooba,Group 2,4e3,4e3,0.42,0.43,0.14,0.74,0.6,0.6 (0.14 to 0.74)
-0.5,2016,Cooba,Group 3,4e3,4e3,0.64,0.62,0.24,0.93,0.69,0.69 (0.24 to 0.93)
-0.5,2016,RRG,Group 2,4e3,4e3,0.45,0.45,0.14,0.79,0.65,0.65 (0.14 to 0.79)
-0.5,2016,RRG,Group 3,4e3,4e3,0.6,0.58,0.2,0.92,0.72,0.72 (0.2 to 0.92)
-0.5,2016,RRG,Group 5,4e3,4e3,0.65,0.63,0.29,0.92,0.62,0.62 (0.29 to 0.92)
1.5,2018,BB,Group 2,4e3,4e3,0.75,0.73,0.43,0.95,0.52,0.52 (0.43 to 0.95)
1.5,2018,BB,Group 1,4e3,4e3,0.78,0.75,0.48,0.95,0.47,0.47 (0.48 to 0.95)
1.5,2018,BB,Group 3,4e3,4e3,0.74,0.72,0.41,0.95,0.53,0.53 (0.41 to 0.95)
1.5,2018,Cooba,Group 2,4e3,4e3,0.53,0.53,0.23,0.83,0.6,0.6 (0.23 to 0.83)
1.5,2018,Cooba,Group 3,4e3,4e3,0.7,0.67,0.33,0.94,0.61,0.61 (0.33 to 0.94)
1.5,2018,RRG,Group 2,4e3,4e3,0.7,0.68,0.35,0.94,0.59,0.59 (0.35 to 0.94)
1.5,2018,RRG,Group 3,4e3,4e3,0.67,0.65,0.28,0.93,0.65,0.65 (0.28 to 0.93)
1.5,2018,RRG,Group 5,4e3,4e3,0.72,0.7,0.32,0.97,0.65,0.65 (0.32 to 0.97)
