Extent,HydroGp,Transect,Species,Year,time,TCI,mTCI,Density
0.85,Group 5,17,RRG,2016,-0.5,11,0.595,0.7
0.95,Group 5,17,RRG,2018,1.5,12,0.7125,0.75
0.85,Group 5,17,RRG,2015,-1.5,10,0.51,0.6
0.85,Group 5,17,RRG,2016,-0.5,10,0.51,0.6
0.9,Group 5,17,RRG,2018,1.5,11,0.675,0.75
0.91,Group 5,17,RRG,2015,-1.5,13,0.7735,0.85
0.91,Group 5,17,RRG,2016,-0.5,13,0.7735,0.85
0.95,Group 5,17,RRG,2018,1.5,12,0.665,0.7
0.85,Group 5,17,RRG,2015,-1.5,12,0.7225,0.85
0.91,Group 2,16,RRG,2016,-0.5,12,0.728,0.8
0.95,Group 2,16,RRG,2018,1.5,12,0.7125,0.75
0.91,Group 2,16,RRG,2015,-1.5,12,0.728,0.8
0.81,Group 2,16,RRG,2016,-0.5,11,0.567,0.7
0.9,Group 2,16,RRG,2018,1.5,11,0.675,0.75
0.81,Group 2,16,RRG,2015,-1.5,11,0.567,0.7
0.6,Group 2,16,RRG,2016,-0.5,7,0.24,0.4
0.95,Group 2,16,RRG,2018,1.5,12,0.7125,0.75
0.6,Group 2,16,RRG,2015,-1.5,7,0.24,0.4
0.3,Group 2,16,RRG,2016,-0.5,5,0.06,0.2
0.95,Group 2,16,RRG,2018,1.5,12,0.7125,0.75
0.3,Group 2,16,RRG,2015,-1.5,5,0.06,0.2
0.45,Group 2,16,RRG,2016,-0.5,8,0.225,0.5
0.95,Group 2,16,RRG,2018,1.5,12,0.7125,0.75
0.45,Group 2,16,RRG,2015,-1.5,8,0.225,0.5
0.45,Group 2,16,RRG,2016,-0.5,8,0.225,0.5
0.9,Group 2,16,RRG,2018,1.5,11,0.675,0.75
0.45,Group 2,16,RRG,2015,-1.5,8,0.225,0.5
0.6,Group 2,16,RRG,2016,-0.5,7,0.24,0.4
0.95,Group 2,16,RRG,2018,1.5,12,0.665,0.7
0.6,Group 2,16,RRG,2015,-1.5,7,0.24,0.4
0.6,Group 2,16,RRG,2016,-0.5,6,0.12,0.2
0.9,Group 2,16,RRG,2018,1.5,11,0.675,0.75
0.6,Group 2,16,RRG,2015,-1.5,6,0.12,0.2
0.6,Group 2,16,RRG,2016,-0.5,7,0.24,0.4
0.9,Group 2,16,RRG,2018,1.5,11,0.63,0.7
0.6,Group 2,16,RRG,2015,-1.5,7,0.24,0.4
0.81,Group 2,16,RRG,2016,-0.5,10,0.486,0.6
0.95,Group 2,16,RRG,2018,1.5,12,0.76,0.8
0.81,Group 2,16,RRG,2015,-1.5,10,0.486,0.6
0.75,Group 2,16,RRG,2016,-0.5,8,0.3,0.4
0.95,Group 2,16,RRG,2018,1.5,12,0.665,0.7
0.75,Group 2,16,RRG,2015,-1.5,8,0.3,0.4
0.81,Group 2,16,RRG,2016,-0.5,11,0.567,0.7
0.95,Group 2,16,RRG,2018,1.5,12,0.76,0.8
0.81,Group 2,16,RRG,2015,-1.5,11,0.567,0.7
0.6,Group 2,16,RRG,2016,-0.5,7,0.24,0.4
0.95,Group 2,16,RRG,2018,1.5,12,0.7125,0.75
0.6,Group 2,16,RRG,2015,-1.5,7,0.24,0.4
0.3,Group 2,16,RRG,2016,-0.5,5,0.06,0.2
0.9,Group 2,16,RRG,2018,1.5,11,0.72,0.8
0.3,Group 2,16,RRG,2015,-1.5,5,0.06,0.2
0.15,Group 2,16,RRG,2016,-0.5,3,0.015,0.1
0.85,Group 2,16,RRG,2018,1.5,11,0.5525,0.65
0.15,Group 2,16,RRG,2015,-1.5,3,0.015,0.1
0.2,Group 2,16,RRG,2016,-0.5,4,0.03,0.15
0.95,Group 2,16,RRG,2018,1.5,12,0.665,0.7
0.2,Group 2,16,RRG,2015,-1.5,4,0.03,0.15
0.8,Group 2,16,RRG,2016,-0.5,10,0.6,0.75
0.9,Group 2,16,RRG,2018,1.5,11,0.675,0.75
0.8,Group 2,16,RRG,2015,-1.5,10,0.6,0.75
0.7,Group 2,16,RRG,2016,-0.5,9,0.35,0.5
0.9,Group 2,16,RRG,2018,1.5,11,0.675,0.75
0.7,Group 2,16,RRG,2015,-1.5,9,0.35,0.5
0.3,Group 2,16,RRG,2016,-0.5,5,0.06,0.2
0.95,Group 2,16,RRG,2018,1.5,11,0.475,0.5
0.3,Group 2,16,RRG,2015,-1.5,5,0.06,0.2
0.7,Group 2,16,RRG,2016,-0.5,9,0.35,0.5
0.95,Group 2,16,RRG,2018,1.5,12,0.665,0.7
0.7,Group 2,16,RRG,2015,-1.5,9,0.35,0.5
0.75,Group 2,16,RRG,2016,-0.5,7,0.15,0.2
0.95,Group 2,16,RRG,2018,1.5,12,0.7125,0.75
0.75,Group 2,16,RRG,2015,-1.5,7,0.15,0.2
0.3,Group 2,16,RRG,2016,-0.5,5,0.06,0.2
0.95,Group 2,16,RRG,2018,1.5,12,0.665,0.7
0.3,Group 2,16,RRG,2015,-1.5,5,0.06,0.2
0.65,Group 2,16,RRG,2016,-0.5,8,0.195,0.3
0.95,Group 2,16,RRG,2018,1.5,12,0.7125,0.75
0.65,Group 2,16,RRG,2015,-1.5,8,0.195,0.3
0.85,Group 2,16,RRG,2018,1.5,11,0.68,0.8
0.65,Group 2,16,RRG,2016,-0.5,7,0.13,0.2
0.65,Group 2,16,RRG,2015,-1.5,7,0.13,0.2
0.65,Group 2,16,RRG,2016,-0.5,8,0.195,0.3
0.95,Group 2,16,RRG,2018,1.5,12,0.665,0.7
0.65,Group 2,16,RRG,2015,-1.5,8,0.195,0.3
0.8,Group 2,16,RRG,2016,-0.5,8,0.32,0.4
0.85,Group 2,16,RRG,2018,1.5,11,0.6375,0.75
0.8,Group 2,16,RRG,2015,-1.5,8,0.32,0.4
0.1,Group 2,16,RRG,2016,-0.5,2,0.005,0.05
0.55,Group 2,16,RRG,2018,1.5,9,0.4125,0.75
0.1,Group 2,16,RRG,2015,-1.5,2,0.005,0.05
0.85,Group 2,16,RRG,2016,-0.5,10,0.3825,0.45
0.9,Group 2,16,RRG,2018,1.5,10,0.54,0.6
0.85,Group 2,16,RRG,2015,-1.5,10,0.3825,0.45
0.75,Group 2,16,RRG,2016,-0.5,9,0.3375,0.45
0.95,Group 2,16,RRG,2018,1.5,13,0.8075,0.85
0.75,Group 2,16,RRG,2015,-1.5,9,0.3375,0.45
0.5,Group 2,16,RRG,2016,-0.5,6,0.1,0.2
0.8,Group 2,16,RRG,2018,1.5,10,0.56,0.7
0.5,Group 2,16,RRG,2015,-1.5,6,0.1,0.2
1,Group 5,17,RRG,2016,-0.5,12,0.61,0.61
0.95,Group 5,17,RRG,2018,1.5,12,0.7125,0.75
1,Group 5,17,RRG,2015,-1.5,12,0.61,0.61
0.91,Group 5,17,RRG,2015,-1.5,13,0.7735,0.85
0.91,Group 5,17,RRG,2016,-0.5,13,0.7735,0.85
0.95,Group 5,17,RRG,2018,1.5,12,0.76,0.8
1,Group 5,17,RRG,2016,-0.5,12,0.7,0.7
0.9,Group 5,17,RRG,2018,1.5,11,0.63,0.7
1,Group 5,17,RRG,2015,-1.5,12,0.7,0.7
0.91,Group 5,17,RRG,2015,-1.5,13,0.7371,0.81
0.91,Group 5,17,RRG,2016,-0.5,13,0.7371,0.81
1,Group 5,17,RRG,2018,1.5,12,0.75,0.75
0.7,Group 5,17,RRG,2015,-1.5,10,0.427,0.61
0.7,Group 5,17,RRG,2016,-0.5,10,0.427,0.61
0.9,Group 5,17,RRG,2018,1.5,12,0.765,0.85
0.7,Group 5,17,RRG,2015,-1.5,10,0.49,0.7
0.7,Group 5,17,RRG,2016,-0.5,10,0.49,0.7
0.9,Group 5,17,RRG,2018,1.5,12,0.765,0.85
0.85,Group 5,17,RRG,2015,-1.5,12,0.7225,0.85
0.85,Group 5,17,RRG,2016,-0.5,12,0.7225,0.85
0.85,Group 5,17,RRG,2018,1.5,12,0.7225,0.85
0.9,Group 5,17,RRG,2018,1.5,11,0.72,0.8
0.81,Group 5,17,RRG,2015,-1.5,12,0.6561,0.81
0.81,Group 5,17,RRG,2016,-0.5,12,0.6561,0.81
0.61,Group 5,17,RRG,2015,-1.5,11,0.4941,0.81
0.61,Group 5,17,RRG,2016,-0.5,11,0.4941,0.81
0.85,Group 5,17,RRG,2018,1.5,11,0.6375,0.75
0.5,Group 5,17,RRG,2015,-1.5,9,0.4,0.8
0.5,Group 5,17,RRG,2016,-0.5,9,0.4,0.8
0.55,Group 5,17,RRG,2018,1.5,9,0.3575,0.65
0.85,Group 5,17,RRG,2015,-1.5,12,0.7225,0.85
0.85,Group 5,17,RRG,2016,-0.5,12,0.7225,0.85
0.95,Group 5,17,RRG,2018,1.5,12,0.7125,0.75
1,Group 5,17,RRG,2015,-1.5,8,0.08,0.08
1,Group 5,17,RRG,2016,-0.5,8,0.08,0.08
0.95,Group 5,17,RRG,2018,1.5,12,0.7125,0.75
0.91,Group 5,17,RRG,2015,-1.5,12,0.637,0.7
0.91,Group 5,17,RRG,2016,-0.5,12,0.637,0.7
1,Group 5,17,RRG,2018,1.5,12,0.75,0.75
0.91,Group 5,17,RRG,2015,-1.5,12,0.637,0.7
0.91,Group 5,17,RRG,2016,-0.5,12,0.637,0.7
0.95,Group 5,17,RRG,2018,1.5,12,0.665,0.7
0.85,Group 5,17,RRG,2015,-1.5,10,0.51,0.6
0.85,Group 5,17,RRG,2016,-0.5,10,0.51,0.6
0.95,Group 5,17,RRG,2018,1.5,12,0.665,0.7
0.91,Group 5,17,RRG,2015,-1.5,13,0.7735,0.85
0.91,Group 5,17,RRG,2016,-0.5,13,0.7735,0.85
0.95,Group 5,17,RRG,2018,1.5,12,0.7125,0.75
0.91,Group 5,17,RRG,2015,-1.5,12,0.637,0.7
0.91,Group 5,17,RRG,2016,-0.5,12,0.637,0.7
0.95,Group 5,17,RRG,2018,1.5,12,0.7125,0.75
