time,Year,Species,HydroGp,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
-1.5,2015,BB,Group 2,4e3,4e3,0.52,0.51,0.18,0.85,0.67,0.67 (0.18 to 0.85)
-1.5,2015,BB,Group 1,4e3,4e3,0.6,0.59,0.26,0.88,0.63,0.63 (0.26 to 0.88)
-1.5,2015,BB,Group 3,4e3,4e3,0.63,0.61,0.26,0.91,0.65,0.65 (0.26 to 0.91)
-1.5,2015,Cooba,Group 2,4e3,4e3,0.61,0.6,0.25,0.9,0.66,0.66 (0.25 to 0.9)
-1.5,2015,Cooba,Group 3,4e3,4e3,0.7,0.66,0.19,0.99,0.79,0.79 (0.19 to 0.99)
-1.5,2015,RRG,Group 2,4e3,4e3,0.53,0.53,0.18,0.88,0.7,0.7 (0.18 to 0.88)
-1.5,2015,RRG,Group 3,4e3,4e3,0.6,0.58,0.11,0.97,0.85,0.85 (0.11 to 0.97)
-1.5,2015,RRG,Group 5,4e3,4e3,0.86,0.81,0.45,1,0.54,0.54 (0.45 to 1)
-0.5,2016,BB,Group 2,4e3,4e3,0.61,0.6,0.24,0.9,0.66,0.66 (0.24 to 0.9)
-0.5,2016,BB,Group 1,4e3,4e3,0.68,0.66,0.33,0.93,0.6,0.6 (0.33 to 0.93)
-0.5,2016,BB,Group 3,4e3,4e3,0.69,0.66,0.32,0.94,0.61,0.61 (0.32 to 0.94)
-0.5,2016,Cooba,Group 2,4e3,4e3,0.68,0.66,0.32,0.94,0.62,0.62 (0.32 to 0.94)
-0.5,2016,Cooba,Group 3,4e3,4e3,0.79,0.75,0.36,0.99,0.63,0.63 (0.36 to 0.99)
-0.5,2016,RRG,Group 2,4e3,4e3,0.67,0.65,0.29,0.94,0.66,0.66 (0.29 to 0.94)
-0.5,2016,RRG,Group 3,4e3,4e3,0.68,0.65,0.23,0.97,0.74,0.74 (0.23 to 0.97)
-0.5,2016,RRG,Group 5,4e3,4e3,0.87,0.83,0.5,1,0.49,0.49 (0.5 to 1)
1.5,2018,BB,Group 2,4e3,4e3,0.75,0.72,0.39,0.97,0.58,0.58 (0.39 to 0.97)
1.5,2018,BB,Group 1,4e3,4e3,0.8,0.77,0.46,0.98,0.51,0.51 (0.46 to 0.98)
1.5,2018,BB,Group 3,4e3,4e3,0.79,0.75,0.43,0.98,0.54,0.54 (0.43 to 0.98)
1.5,2018,Cooba,Group 2,4e3,4e3,0.83,0.79,0.47,0.99,0.52,0.52 (0.47 to 0.99)
1.5,2018,Cooba,Group 3,4e3,4e3,0.92,0.87,0.58,1,0.42,0.42 (0.58 to 1)
1.5,2018,RRG,Group 2,4e3,4e3,0.89,0.84,0.53,1,0.46,0.46 (0.53 to 1)
1.5,2018,RRG,Group 3,4e3,4e3,0.82,0.77,0.42,0.99,0.57,0.57 (0.42 to 0.99)
1.5,2018,RRG,Group 5,4e3,4e3,0.89,0.84,0.49,1,0.51,0.51 (0.49 to 1)
