TCI,HydroGp,Transect,Species,Year,time,mTCI,Extent,Density
11,Group 5,17,RRG,2016,-0.5,0.595,0.85,0.7
12,Group 5,17,RRG,2018,1.5,0.7125,0.95,0.75
10,Group 5,17,RRG,2015,-1.5,0.51,0.85,0.6
10,Group 5,17,RRG,2016,-0.5,0.51,0.85,0.6
11,Group 5,17,RRG,2018,1.5,0.675,0.9,0.75
13,Group 5,17,RRG,2015,-1.5,0.7735,0.91,0.85
13,Group 5,17,RRG,2016,-0.5,0.7735,0.91,0.85
12,Group 5,17,RRG,2018,1.5,0.665,0.95,0.7
12,Group 5,17,RRG,2015,-1.5,0.7225,0.85,0.85
12,Group 2,16,RRG,2016,-0.5,0.728,0.91,0.8
12,Group 2,16,RRG,2018,1.5,0.7125,0.95,0.75
12,Group 2,16,RRG,2015,-1.5,0.728,0.91,0.8
11,Group 2,16,RRG,2016,-0.5,0.567,0.81,0.7
11,Group 2,16,RRG,2018,1.5,0.675,0.9,0.75
11,Group 2,16,RRG,2015,-1.5,0.567,0.81,0.7
7,Group 2,16,RRG,2016,-0.5,0.24,0.6,0.4
12,Group 2,16,RRG,2018,1.5,0.7125,0.95,0.75
7,Group 2,16,RRG,2015,-1.5,0.24,0.6,0.4
5,Group 2,16,RRG,2016,-0.5,0.06,0.3,0.2
12,Group 2,16,RRG,2018,1.5,0.7125,0.95,0.75
5,Group 2,16,RRG,2015,-1.5,0.06,0.3,0.2
8,Group 2,16,RRG,2016,-0.5,0.225,0.45,0.5
12,Group 2,16,RRG,2018,1.5,0.7125,0.95,0.75
8,Group 2,16,RRG,2015,-1.5,0.225,0.45,0.5
8,Group 2,16,RRG,2016,-0.5,0.225,0.45,0.5
11,Group 2,16,RRG,2018,1.5,0.675,0.9,0.75
8,Group 2,16,RRG,2015,-1.5,0.225,0.45,0.5
7,Group 2,16,RRG,2016,-0.5,0.24,0.6,0.4
12,Group 2,16,RRG,2018,1.5,0.665,0.95,0.7
7,Group 2,16,RRG,2015,-1.5,0.24,0.6,0.4
6,Group 2,16,RRG,2016,-0.5,0.12,0.6,0.2
11,Group 2,16,RRG,2018,1.5,0.675,0.9,0.75
6,Group 2,16,RRG,2015,-1.5,0.12,0.6,0.2
7,Group 2,16,RRG,2016,-0.5,0.24,0.6,0.4
11,Group 2,16,RRG,2018,1.5,0.63,0.9,0.7
7,Group 2,16,RRG,2015,-1.5,0.24,0.6,0.4
10,Group 2,16,RRG,2016,-0.5,0.486,0.81,0.6
12,Group 2,16,RRG,2018,1.5,0.76,0.95,0.8
10,Group 2,16,RRG,2015,-1.5,0.486,0.81,0.6
8,Group 2,16,RRG,2016,-0.5,0.3,0.75,0.4
12,Group 2,16,RRG,2018,1.5,0.665,0.95,0.7
8,Group 2,16,RRG,2015,-1.5,0.3,0.75,0.4
11,Group 2,16,RRG,2016,-0.5,0.567,0.81,0.7
12,Group 2,16,RRG,2018,1.5,0.76,0.95,0.8
11,Group 2,16,RRG,2015,-1.5,0.567,0.81,0.7
7,Group 2,16,RRG,2016,-0.5,0.24,0.6,0.4
12,Group 2,16,RRG,2018,1.5,0.7125,0.95,0.75
7,Group 2,16,RRG,2015,-1.5,0.24,0.6,0.4
5,Group 2,16,RRG,2016,-0.5,0.06,0.3,0.2
11,Group 2,16,RRG,2018,1.5,0.72,0.9,0.8
5,Group 2,16,RRG,2015,-1.5,0.06,0.3,0.2
3,Group 2,16,RRG,2016,-0.5,0.015,0.15,0.1
11,Group 2,16,RRG,2018,1.5,0.5525,0.85,0.65
3,Group 2,16,RRG,2015,-1.5,0.015,0.15,0.1
4,Group 2,16,RRG,2016,-0.5,0.03,0.2,0.15
12,Group 2,16,RRG,2018,1.5,0.665,0.95,0.7
4,Group 2,16,RRG,2015,-1.5,0.03,0.2,0.15
10,Group 2,16,RRG,2016,-0.5,0.6,0.8,0.75
11,Group 2,16,RRG,2018,1.5,0.675,0.9,0.75
10,Group 2,16,RRG,2015,-1.5,0.6,0.8,0.75
9,Group 2,16,RRG,2016,-0.5,0.35,0.7,0.5
11,Group 2,16,RRG,2018,1.5,0.675,0.9,0.75
9,Group 2,16,RRG,2015,-1.5,0.35,0.7,0.5
5,Group 2,16,RRG,2016,-0.5,0.06,0.3,0.2
11,Group 2,16,RRG,2018,1.5,0.475,0.95,0.5
5,Group 2,16,RRG,2015,-1.5,0.06,0.3,0.2
9,Group 2,16,RRG,2016,-0.5,0.35,0.7,0.5
12,Group 2,16,RRG,2018,1.5,0.665,0.95,0.7
9,Group 2,16,RRG,2015,-1.5,0.35,0.7,0.5
7,Group 2,16,RRG,2016,-0.5,0.15,0.75,0.2
12,Group 2,16,RRG,2018,1.5,0.7125,0.95,0.75
7,Group 2,16,RRG,2015,-1.5,0.15,0.75,0.2
5,Group 2,16,RRG,2016,-0.5,0.06,0.3,0.2
12,Group 2,16,RRG,2018,1.5,0.665,0.95,0.7
5,Group 2,16,RRG,2015,-1.5,0.06,0.3,0.2
8,Group 2,16,RRG,2016,-0.5,0.195,0.65,0.3
12,Group 2,16,RRG,2018,1.5,0.7125,0.95,0.75
8,Group 2,16,RRG,2015,-1.5,0.195,0.65,0.3
11,Group 2,16,RRG,2018,1.5,0.68,0.85,0.8
7,Group 2,16,RRG,2016,-0.5,0.13,0.65,0.2
7,Group 2,16,RRG,2015,-1.5,0.13,0.65,0.2
8,Group 2,16,RRG,2016,-0.5,0.195,0.65,0.3
12,Group 2,16,RRG,2018,1.5,0.665,0.95,0.7
8,Group 2,16,RRG,2015,-1.5,0.195,0.65,0.3
8,Group 2,16,RRG,2016,-0.5,0.32,0.8,0.4
11,Group 2,16,RRG,2018,1.5,0.6375,0.85,0.75
8,Group 2,16,RRG,2015,-1.5,0.32,0.8,0.4
2,Group 2,16,RRG,2016,-0.5,0.005,0.1,0.05
9,Group 2,16,RRG,2018,1.5,0.4125,0.55,0.75
2,Group 2,16,RRG,2015,-1.5,0.005,0.1,0.05
10,Group 2,16,RRG,2016,-0.5,0.3825,0.85,0.45
10,Group 2,16,RRG,2018,1.5,0.54,0.9,0.6
10,Group 2,16,RRG,2015,-1.5,0.3825,0.85,0.45
9,Group 2,16,RRG,2016,-0.5,0.3375,0.75,0.45
13,Group 2,16,RRG,2018,1.5,0.8075,0.95,0.85
9,Group 2,16,RRG,2015,-1.5,0.3375,0.75,0.45
6,Group 2,16,RRG,2016,-0.5,0.1,0.5,0.2
10,Group 2,16,RRG,2018,1.5,0.56,0.8,0.7
6,Group 2,16,RRG,2015,-1.5,0.1,0.5,0.2
12,Group 5,17,RRG,2016,-0.5,0.61,1,0.61
12,Group 5,17,RRG,2018,1.5,0.7125,0.95,0.75
12,Group 5,17,RRG,2015,-1.5,0.61,1,0.61
13,Group 5,17,RRG,2015,-1.5,0.7735,0.91,0.85
13,Group 5,17,RRG,2016,-0.5,0.7735,0.91,0.85
12,Group 5,17,RRG,2018,1.5,0.76,0.95,0.8
12,Group 5,17,RRG,2016,-0.5,0.7,1,0.7
11,Group 5,17,RRG,2018,1.5,0.63,0.9,0.7
12,Group 5,17,RRG,2015,-1.5,0.7,1,0.7
