HYDRO_GP,Species,Year,direction,n,prob
Group 1,BB,2015,Higher,2059,51.475
Group 1,BB,2016,Higher,2064,51.6
Group 1,BB,2018,Higher,2099,52.475
Group 3,BB,2015,Higher,2438,60.95
Group 3,BB,2016,Higher,2234,55.85
Group 3,BB,2018,Higher,1904,47.6
Group 3,Cooba,2015,Higher,2259,56.475
Group 3,Cooba,2016,Higher,2319,57.975
Group 3,Cooba,2018,Higher,2278,56.95
Group 3,RRG,2015,Higher,2181,54.525
Group 3,RRG,2016,Higher,1967,49.175
Group 3,RRG,2018,Higher,1347,33.675
Group 5,RRG,2015,Higher,3447,86.175
Group 5,RRG,2016,Higher,2916,72.9
Group 5,RRG,2018,Higher,1311,32.775
Group 1,BB,2015,Lower,1364,34.1
Group 1,BB,2016,Lower,1356,33.9
Group 1,BB,2018,Lower,1319,32.975
Group 3,BB,2015,Lower,1049,26.225
Group 3,BB,2016,Lower,1272,31.8
Group 3,BB,2018,Lower,1485,37.125
Group 3,Cooba,2015,Lower,1335,33.375
Group 3,Cooba,2016,Lower,1192,29.8
Group 3,Cooba,2018,Lower,1127,28.175
Group 3,RRG,2015,Lower,1382,34.55
Group 3,RRG,2016,Lower,1539,38.475
Group 3,RRG,2018,Lower,1952,48.8
Group 5,RRG,2015,Lower,347,8.675
Group 5,RRG,2016,Lower,699,17.475
Group 5,RRG,2018,Lower,2150,53.75
Group 1,BB,2015,Same,577,14.425
Group 1,BB,2016,Same,580,14.5
Group 1,BB,2018,Same,582,14.55
Group 3,BB,2015,Same,513,12.825
Group 3,BB,2016,Same,494,12.35
Group 3,BB,2018,Same,611,15.275
Group 3,Cooba,2015,Same,406,10.15
Group 3,Cooba,2016,Same,489,12.225
Group 3,Cooba,2018,Same,595,14.875
Group 3,RRG,2015,Same,437,10.925
Group 3,RRG,2016,Same,494,12.35
Group 3,RRG,2018,Same,701,17.525
Group 5,RRG,2015,Same,206,5.15
Group 5,RRG,2016,Same,385,9.625
Group 5,RRG,2018,Same,539,13.475
