time,Year,Species,HYDRO_GP,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
-1.5,2015,BB,Group 1,4000,4000,8,7.59625,5,11,6,6 (5 to 11)
-1.5,2015,BB,Group 2,4000,4000,7,6.9695,4,10,6,6 (4 to 10)
-1.5,2015,BB,Group 3,4000,4000,8,8.29875,5,12,7,7 (5 to 12)
-1.5,2015,Cooba,Group 2,4000,4000,8,7.79575,4,11,7,7 (4 to 11)
-1.5,2015,Cooba,Group 3,4000,4000,9,8.6855,3,13,10,10 (3 to 13)
-1.5,2015,RRG,Group 2,4000,4000,7,6.765,3,11,8,8 (3 to 11)
-1.5,2015,RRG,Group 3,4000,4000,8,7.6935,2,13,11,11 (2 to 13)
-1.5,2015,RRG,Group 5,4000,4000,11,10.627,7,14,7,7 (7 to 14)
-0.5,2016,BB,Group 1,4000,4000,9,8.66725,5,12,7,7 (5 to 12)
-0.5,2016,BB,Group 2,4000,4000,8,8.044,5,11,6,6 (5 to 11)
-0.5,2016,BB,Group 3,4000,4000,9,8.943,5,12,7,7 (5 to 12)
-0.5,2016,Cooba,Group 2,4000,4000,8,8.3395,5,12,7,7 (5 to 12)
-0.5,2016,Cooba,Group 3,4000,4000,10,9.322,5,13,8,8 (5 to 13)
-0.5,2016,RRG,Group 2,4000,4000,8,8.321,5,12,7,7 (5 to 12)
-0.5,2016,RRG,Group 3,4000,4000,9,8.68125,4,13,9,9 (4 to 13)
-0.5,2016,RRG,Group 5,4000,4000,11,10.594,7,13,6,6 (7 to 13)
1.5,2018,BB,Group 1,4000,4000,11,10.585,8,13,5,5 (8 to 13)
1.5,2018,BB,Group 2,4000,4000,10,9.887,6,13,7,7 (6 to 13)
1.5,2018,BB,Group 3,4000,4000,10,10.27275,7,13,6,6 (7 to 13)
1.5,2018,Cooba,Group 2,4000,4000,10,9.4775,6,13,7,7 (6 to 13)
1.5,2018,Cooba,Group 3,4000,4000,11,10.36775,7,13,6,6 (7 to 13)
1.5,2018,RRG,Group 2,4000,4000,11,11.05125,8,14,6,6 (8 to 14)
1.5,2018,RRG,Group 3,4000,4000,11,10.54325,7,14,7,7 (7 to 14)
1.5,2018,RRG,Group 5,4000,4000,10,10.18375,6,13,7,7 (6 to 13)
