HydroGp,Species,Year,direction,n,prob
Group 0,BB,2018,Higher,1888,47.2
Group 0,Cooba,2018,Higher,977,24.425
Group 1,BB,2015,Higher,2699,67.475
Group 1,BB,2016,Higher,2557,63.925
Group 1,BB,2018,Higher,2101,52.525
Group 1,Cooba,2018,Higher,2780,69.5
Group 1,RRG,2018,Higher,3395,84.875
Group 3,BB,2015,Higher,3577,89.425
Group 3,BB,2016,Higher,3166,79.15
Group 3,BB,2018,Higher,1823,45.575
Group 3,Cooba,2015,Higher,1507,37.675
Group 3,Cooba,2016,Higher,1076,26.9
Group 3,Cooba,2018,Higher,382,9.55
Group 3,RRG,2015,Higher,2990,74.75
Group 3,RRG,2016,Higher,2587,64.675
Group 3,RRG,2018,Higher,1037,25.925
Group 5,BB,2018,Higher,1096,27.4
Group 5,Cooba,2018,Higher,970,24.25
Group 5,RRG,2015,Higher,3969,99.225
Group 5,RRG,2016,Higher,3855,96.375
Group 5,RRG,2018,Higher,1356,33.9
Group 0,BB,2018,Lower,1555,38.875
Group 0,Cooba,2018,Lower,2611,65.275
Group 1,BB,2015,Lower,818,20.45
Group 1,BB,2016,Lower,961,24.025
Group 1,BB,2018,Lower,1294,32.35
Group 1,Cooba,2018,Lower,736,18.4
Group 1,RRG,2018,Lower,292,7.3
Group 3,BB,2015,Lower,224,5.6
Group 3,BB,2016,Lower,516,12.9
Group 3,BB,2018,Lower,1626,40.65
Group 3,Cooba,2015,Lower,2090,52.25
Group 3,Cooba,2016,Lower,2490,62.25
Group 3,Cooba,2018,Lower,3342,83.55
Group 3,RRG,2015,Lower,691,17.275
Group 3,RRG,2016,Lower,983,24.575
Group 3,RRG,2018,Lower,2494,62.35
Group 5,BB,2018,Lower,2466,61.65
Group 5,Cooba,2018,Lower,2652,66.3
Group 5,RRG,2015,Lower,9,0.225
Group 5,RRG,2016,Lower,74,1.85
Group 5,RRG,2018,Lower,2134,53.35
Group 0,BB,2018,Same,557,13.925
Group 0,Cooba,2018,Same,412,10.3
Group 1,BB,2015,Same,483,12.075
Group 1,BB,2016,Same,482,12.05
Group 1,BB,2018,Same,605,15.125
Group 1,Cooba,2018,Same,484,12.1
Group 1,RRG,2018,Same,313,7.825
Group 3,BB,2015,Same,199,4.975
Group 3,BB,2016,Same,318,7.95
Group 3,BB,2018,Same,551,13.775
Group 3,Cooba,2015,Same,403,10.075
Group 3,Cooba,2016,Same,434,10.85
Group 3,Cooba,2018,Same,276,6.9
Group 3,RRG,2015,Same,319,7.975
Group 3,RRG,2016,Same,430,10.75
Group 3,RRG,2018,Same,469,11.725
Group 5,BB,2018,Same,438,10.95
Group 5,Cooba,2018,Same,378,9.45
Group 5,RRG,2015,Same,22,0.55
Group 5,RRG,2016,Same,71,1.775
Group 5,RRG,2018,Same,510,12.75
