time,Year,Species,HydroGp,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
1.5,2018,BB,Group 2,4e3,4e3,9,8.702,5,12,7,7 (5 to 12)
1.5,2018,BB,Group 0,4e3,4e3,9,8.998,6,12,6,6 (6 to 12)
1.5,2018,BB,Group 1,4e3,4e3,9,9.431,6,12,6,6 (6 to 12)
1.5,2018,BB,Group 3,4e3,4e3,9,8.898,5,12,7,7 (5 to 12)
1.5,2018,BB,Group 5,4e3,4e3,7,7.221,3,12,9,9 (3 to 12)
1.5,2018,Cooba,Group 2,4e3,4e3,10,9.407,6,12,6,6 (6 to 12)
1.5,2018,Cooba,Group 0,4e3,4e3,8,7.818,4,11,7,7 (4 to 11)
1.5,2018,Cooba,Group 1,4e3,4e3,11,11.278,8,14,6,6 (8 to 14)
1.5,2018,Cooba,Group 3,4e3,4e3,6,6.059,3,9,6,6 (3 to 9)
1.5,2018,Cooba,Group 5,4e3,4e3,7,7.375,3,12,9,9 (3 to 12)
1.5,2018,RRG,Group 2,4e3,4e3,9,8.806,5,12,7,7 (5 to 12)
1.5,2018,RRG,Group 1,4e3,4e3,12,11.838,9,14,5,5 (9 to 14)
1.5,2018,RRG,Group 3,4e3,4e3,8,7.547,4,11,7,7 (4 to 11)
1.5,2018,RRG,Group 5,4e3,4e3,8,7.891,3,12,9,9 (3 to 12)
