time,Year,Species,HydroGp,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
-1.5,2015,BB,Group 2,4e3,4e3,6,5.68,3,9,6,6 (3 to 9)
-1.5,2015,BB,Group 1,4e3,4e3,7,7.345,4,10,6,6 (4 to 10)
-1.5,2015,BB,Group 3,4e3,4e3,10,9.642,6,13,7,7 (6 to 13)
-1.5,2015,Cooba,Group 2,4e3,4e3,8,7.658,4,11,7,7 (4 to 11)
-1.5,2015,Cooba,Group 3,4e3,4e3,7,7.021,2,12,10,10 (2 to 12)
-1.5,2015,RRG,Group 2,4e3,4e3,4,4.33,1,8,7,7 (1 to 8)
-1.5,2015,RRG,Group 3,4e3,4e3,7,7.297,2,12,10,10 (2 to 12)
-1.5,2015,RRG,Group 5,4e3,4e3,12,11.638,8,14,6,6 (8 to 14)
-0.5,2016,BB,Group 2,4e3,4e3,7,6.697,4,10,6,6 (4 to 10)
-0.5,2016,BB,Group 1,4e3,4e3,8,8.118,5,11,6,6 (5 to 11)
-0.5,2016,BB,Group 3,4e3,4e3,10,9.404,6,12,6,6 (6 to 12)
-0.5,2016,Cooba,Group 2,4e3,4e3,8,8.208,5,12,7,7 (5 to 12)
-0.5,2016,Cooba,Group 3,4e3,4e3,7,6.74,3,11,8,8 (3 to 11)
-0.5,2016,RRG,Group 2,4e3,4e3,6,5.706,3,9,6,6 (3 to 9)
-0.5,2016,RRG,Group 3,4e3,4e3,7,7.416,3,11,8,8 (3 to 11)
-0.5,2016,RRG,Group 5,4e3,4e3,11,10.822,8,13,5,5 (8 to 13)
1.5,2018,BB,Group 2,4e3,4e3,9,8.702,5,12,7,7 (5 to 12)
1.5,2018,BB,Group 0,4e3,4e3,9,8.998,6,12,6,6 (6 to 12)
1.5,2018,BB,Group 1,4e3,4e3,9,9.431,6,12,6,6 (6 to 12)
1.5,2018,BB,Group 3,4e3,4e3,9,8.898,5,12,7,7 (5 to 12)
1.5,2018,BB,Group 5,4e3,4e3,7,7.221,3,12,9,9 (3 to 12)
1.5,2018,Cooba,Group 2,4e3,4e3,10,9.407,6,12,6,6 (6 to 12)
1.5,2018,Cooba,Group 0,4e3,4e3,8,7.818,4,11,7,7 (4 to 11)
1.5,2018,Cooba,Group 1,4e3,4e3,11,11.278,8,14,6,6 (8 to 14)
1.5,2018,Cooba,Group 3,4e3,4e3,6,6.059,3,9,6,6 (3 to 9)
1.5,2018,Cooba,Group 5,4e3,4e3,7,7.375,3,12,9,9 (3 to 12)
1.5,2018,RRG,Group 2,4e3,4e3,9,8.806,5,12,7,7 (5 to 12)
1.5,2018,RRG,Group 1,4e3,4e3,12,11.838,9,14,5,5 (9 to 14)
1.5,2018,RRG,Group 3,4e3,4e3,8,7.547,4,11,7,7 (4 to 11)
1.5,2018,RRG,Group 5,4e3,4e3,8,7.891,3,12,9,9 (3 to 12)
