time,Year,Species,HYDRO_GP,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
-1.5,2015,BB,Group 2,4000,4000,7,6.99475,4,11,7,7 (4 to 11)
-1.5,2015,BB,Group 1,4000,4000,8,7.5225,4,11,7,7 (4 to 11)
-1.5,2015,BB,Group 3,4000,4000,8,8.25725,5,12,7,7 (5 to 12)
-1.5,2015,Cooba,Group 2,4000,4000,8,7.777,4,11,7,7 (4 to 11)
-1.5,2015,Cooba,Group 3,4000,4000,10,9.1435,4,13,9,9 (4 to 13)
-1.5,2015,RRG,Group 2,4000,4000,7,6.781,3,11,8,8 (3 to 11)
-1.5,2015,RRG,Group 3,4000,4000,8,7.61125,2,13,11,11 (2 to 13)
-1.5,2015,RRG,Group 5,4000,4000,11,10.4955,7,14,7,7 (7 to 14)
-0.5,2016,BB,Group 2,4000,4000,8,8.02125,5,11,6,6 (5 to 11)
-0.5,2016,BB,Group 1,4000,4000,9,8.715,6,12,6,6 (6 to 12)
-0.5,2016,BB,Group 3,4000,4000,9,9.0935,6,12,6,6 (6 to 12)
-0.5,2016,Cooba,Group 2,4000,4000,9,8.4695,5,12,7,7 (5 to 12)
-0.5,2016,Cooba,Group 3,4000,4000,10,9.78875,5,13,8,8 (5 to 13)
-0.5,2016,RRG,Group 2,4000,4000,8,8.28825,4,12,8,8 (4 to 12)
-0.5,2016,RRG,Group 3,4000,4000,9,8.69375,4,13,9,9 (4 to 13)
-0.5,2016,RRG,Group 5,4000,4000,11,10.76725,7,14,7,7 (7 to 14)
1.5,2018,BB,Group 2,4000,4000,10,10.08375,7,13,6,6 (7 to 13)
1.5,2018,BB,Group 1,4000,4000,11,10.66025,8,13,5,5 (8 to 13)
1.5,2018,BB,Group 3,4000,4000,10,10.31925,7,13,6,6 (7 to 13)
1.5,2018,Cooba,Group 2,4000,4000,10,9.607,6,13,7,7 (6 to 13)
1.5,2018,Cooba,Group 3,4000,4000,11,10.823,7,14,7,7 (7 to 14)
1.5,2018,RRG,Group 2,4000,4000,11,10.99,8,14,6,6 (8 to 14)
1.5,2018,RRG,Group 3,4000,4000,11,10.556,7,14,7,7 (7 to 14)
1.5,2018,RRG,Group 5,4000,4000,11,10.774,7,14,7,7 (7 to 14)
