HydroGp,Species,Year,direction,n,prob
Group 0,BB,2018,Higher,1410,35.25
Group 0,Cooba,2018,Higher,1082,27.05
Group 1,BB,2015,Higher,2119,52.975
Group 1,BB,2016,Higher,1857,46.425
Group 1,BB,2018,Higher,1500,37.5
Group 1,Cooba,2018,Higher,2660,66.5
Group 1,RRG,2018,Higher,2429,60.725
Group 3,BB,2015,Higher,2946,73.65
Group 3,BB,2016,Higher,2482,62.05
Group 3,BB,2018,Higher,1278,31.95
Group 3,Cooba,2015,Higher,2086,52.15
Group 3,Cooba,2016,Higher,1720,43
Group 3,Cooba,2018,Higher,947,23.675
Group 3,RRG,2015,Higher,2881,72.025
Group 3,RRG,2016,Higher,2390,59.75
Group 3,RRG,2018,Higher,1119,27.975
Group 5,BB,2018,Higher,1133,28.325
Group 5,Cooba,2018,Higher,1483,37.075
Group 5,RRG,2015,Higher,3774,94.35
Group 5,RRG,2016,Higher,3185,79.625
Group 5,RRG,2018,Higher,654,16.35
Group 0,BB,2018,Lower,1934,48.35
Group 0,Cooba,2018,Lower,2391,59.775
Group 1,BB,2015,Lower,1299,32.475
Group 1,BB,2016,Lower,1538,38.45
Group 1,BB,2018,Lower,1853,46.325
Group 1,Cooba,2018,Lower,845,21.125
Group 1,RRG,2018,Lower,932,23.3
Group 3,BB,2015,Lower,634,15.85
Group 3,BB,2016,Lower,1033,25.825
Group 3,BB,2018,Lower,2119,52.975
Group 3,Cooba,2015,Lower,1433,35.825
Group 3,Cooba,2016,Lower,1776,44.4
Group 3,Cooba,2018,Lower,2536,63.4
Group 3,RRG,2015,Lower,721,18.025
Group 3,RRG,2016,Lower,1092,27.3
Group 3,RRG,2018,Lower,2291,57.275
Group 5,BB,2018,Lower,2327,58.175
Group 5,Cooba,2018,Lower,2031,50.775
Group 5,RRG,2015,Lower,99,2.475
Group 5,RRG,2016,Lower,459,11.475
Group 5,RRG,2018,Lower,2918,72.95
Group 0,BB,2018,Same,656,16.4
Group 0,Cooba,2018,Same,527,13.175
Group 1,BB,2015,Same,582,14.55
Group 1,BB,2016,Same,605,15.125
Group 1,BB,2018,Same,647,16.175
Group 1,Cooba,2018,Same,495,12.375
Group 1,RRG,2018,Same,639,15.975
Group 3,BB,2015,Same,420,10.5
Group 3,BB,2016,Same,485,12.125
Group 3,BB,2018,Same,603,15.075
Group 3,Cooba,2015,Same,481,12.025
Group 3,Cooba,2016,Same,504,12.6
Group 3,Cooba,2018,Same,517,12.925
Group 3,RRG,2015,Same,398,9.95
Group 3,RRG,2016,Same,518,12.95
Group 3,RRG,2018,Same,590,14.75
Group 5,BB,2018,Same,540,13.5
Group 5,Cooba,2018,Same,486,12.15
Group 5,RRG,2015,Same,127,3.175
Group 5,RRG,2016,Same,356,8.9
Group 5,RRG,2018,Same,428,10.7
