time,Year,Species,HydroGp,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
-1.5,2015,BB,Group 2,4e3,4e3,7,7.019,4,10,6,6 (4 to 10)
-1.5,2015,BB,Group 1,4e3,4e3,8,7.696,5,11,6,6 (5 to 11)
-1.5,2015,BB,Group 3,4e3,4e3,9,9.249,6,12,6,6 (6 to 12)
-1.5,2015,Cooba,Group 2,4e3,4e3,8,7.782,4,11,7,7 (4 to 11)
-1.5,2015,Cooba,Group 3,4e3,4e3,9,8.42,4,12,8,8 (4 to 12)
-1.5,2015,RRG,Group 2,4e3,4e3,6,6.202,3,9,6,6 (3 to 9)
-1.5,2015,RRG,Group 3,4e3,4e3,9,8.495,4,12,8,8 (4 to 12)
-1.5,2015,RRG,Group 5,4e3,4e3,11,11.12,8,14,6,6 (8 to 14)
-0.5,2016,BB,Group 2,4e3,4e3,8,8.152,5,11,6,6 (5 to 11)
-0.5,2016,BB,Group 1,4e3,4e3,8,8.464,5,11,6,6 (5 to 11)
-0.5,2016,BB,Group 3,4e3,4e3,9,9.377,6,12,6,6 (6 to 12)
-0.5,2016,Cooba,Group 2,4e3,4e3,8,8.428,5,11,6,6 (5 to 11)
-0.5,2016,Cooba,Group 3,4e3,4e3,8,8.356,5,12,7,7 (5 to 12)
-0.5,2016,RRG,Group 2,4e3,4e3,8,7.777,5,11,6,6 (5 to 11)
-0.5,2016,RRG,Group 3,4e3,4e3,9,8.943,5,12,7,7 (5 to 12)
-0.5,2016,RRG,Group 5,4e3,4e3,10,10.34,7,13,6,6 (7 to 13)
1.5,2018,BB,Group 2,4e3,4e3,10,10.197,7,13,6,6 (7 to 13)
1.5,2018,BB,Group 0,4e3,4e3,10,9.782,7,13,6,6 (7 to 13)
1.5,2018,BB,Group 1,4e3,4e3,10,9.921,7,13,6,6 (7 to 13)
1.5,2018,BB,Group 3,4e3,4e3,10,9.528,6,12,6,6 (6 to 12)
1.5,2018,BB,Group 5,4e3,4e3,9,9.057,5,13,8,8 (5 to 13)
1.5,2018,Cooba,Group 2,4e3,4e3,10,9.678,7,13,6,6 (7 to 13)
1.5,2018,Cooba,Group 0,4e3,4e3,9,8.51,5,12,7,7 (5 to 12)
1.5,2018,Cooba,Group 1,4e3,4e3,11,11.164,8,14,6,6 (8 to 14)
1.5,2018,Cooba,Group 3,4e3,4e3,8,8.226,5,11,6,6 (5 to 11)
1.5,2018,Cooba,Group 5,4e3,4e3,9,9.058,5,13,8,8 (5 to 13)
1.5,2018,RRG,Group 2,4e3,4e3,11,10.626,8,13,5,5 (8 to 13)
1.5,2018,RRG,Group 1,4e3,4e3,12,11.726,9,14,5,5 (9 to 14)
1.5,2018,RRG,Group 3,4e3,4e3,10,9.691,6,13,7,7 (6 to 13)
1.5,2018,RRG,Group 5,4e3,4e3,8,8.346,4,12,8,8 (4 to 12)
