HydroGp,Species,Year,direction,n,prob
Group 1,BB,2015,Higher,2034,50.85
Group 1,BB,2016,Higher,2096,52.4
Group 1,BB,2018,Higher,2105,52.625
Group 3,BB,2015,Higher,2437,60.925
Group 3,BB,2016,Higher,2319,57.975
Group 3,BB,2018,Higher,1935,48.375
Group 3,RRG,2015,Higher,1679,41.975
Group 3,RRG,2016,Higher,1821,45.525
Group 3,RRG,2018,Higher,1926,48.15
Group 5,RRG,2015,Higher,3009,75.225
Group 5,RRG,2016,Higher,2756,68.9
Group 5,RRG,2018,Higher,1962,49.05
Group 1,BB,2015,Lower,1451,36.275
Group 1,BB,2016,Lower,1365,34.125
Group 1,BB,2018,Lower,1299,32.475
Group 3,BB,2015,Lower,1103,27.575
Group 3,BB,2016,Lower,1188,29.7
Group 3,BB,2018,Lower,1439,35.975
Group 3,RRG,2015,Lower,1799,44.975
Group 3,RRG,2016,Lower,1650,41.25
Group 3,RRG,2018,Lower,1370,34.25
Group 5,RRG,2015,Lower,677,16.925
Group 5,RRG,2016,Lower,809,20.225
Group 5,RRG,2018,Lower,1444,36.1
Group 1,BB,2015,Same,515,12.875
Group 1,BB,2016,Same,539,13.475
Group 1,BB,2018,Same,596,14.9
Group 3,BB,2015,Same,460,11.5
Group 3,BB,2016,Same,493,12.325
Group 3,BB,2018,Same,626,15.65
Group 3,RRG,2015,Same,522,13.05
Group 3,RRG,2016,Same,529,13.225
Group 3,RRG,2018,Same,704,17.6
Group 5,RRG,2015,Same,314,7.85
Group 5,RRG,2016,Same,435,10.875
Group 5,RRG,2018,Same,594,14.85
