time,Year,Species,HydroGp,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
-1.5,2015,BB,Group 2,4e3,4e3,7,7.01,3,11,8,8 (3 to 11)
-1.5,2015,BB,Group 1,4e3,4e3,8,7.59,4,11,7,7 (4 to 11)
-1.5,2015,BB,Group 3,4e3,4e3,8,8.32,5,12,7,7 (5 to 12)
-1.5,2015,RRG,Group 2,4e3,4e3,7,6.76,3,11,8,8 (3 to 11)
-1.5,2015,RRG,Group 3,4e3,4e3,7,6.69,2,12,10,10 (2 to 12)
-1.5,2015,RRG,Group 5,4e3,4e3,10,9.55,5,13,8,8 (5 to 13)
-0.5,2016,BB,Group 2,4e3,4e3,8,8.01,4,11,7,7 (4 to 11)
-0.5,2016,BB,Group 1,4e3,4e3,9,8.72,5,12,7,7 (5 to 12)
-0.5,2016,BB,Group 3,4e3,4e3,9,9.09,6,12,6,6 (6 to 12)
-0.5,2016,RRG,Group 2,4e3,4e3,8,8.31,4,12,8,8 (4 to 12)
-0.5,2016,RRG,Group 3,4e3,4e3,8,8.42,4,13,9,9 (4 to 13)
-0.5,2016,RRG,Group 5,4e3,4e3,11,10.35,7,13,6,6 (7 to 13)
1.5,2018,BB,Group 2,4e3,4e3,10,10.01,7,13,6,6 (7 to 13)
1.5,2018,BB,Group 1,4e3,4e3,11,10.66,8,13,5,5 (8 to 13)
1.5,2018,BB,Group 3,4e3,4e3,11,10.42,7,13,6,6 (7 to 13)
1.5,2018,RRG,Group 2,4e3,4e3,11,10.96,8,14,6,6 (8 to 14)
1.5,2018,RRG,Group 3,4e3,4e3,12,11.28,7,14,7,7 (7 to 14)
1.5,2018,RRG,Group 5,4e3,4e3,12,11.33,8,14,6,6 (8 to 14)
