SPECIES,Year,HYDRO_GP,TCI,n,per
Acacia stenophylla,2015,Group 2,1,3,0.075
Acacia stenophylla,2015,Group 2,2,13,0.325
Acacia stenophylla,2015,Group 2,3,48,1.2
Acacia stenophylla,2015,Group 2,4,130,3.25
Acacia stenophylla,2015,Group 2,5,290,7.25
Acacia stenophylla,2015,Group 2,6,556,13.9
Acacia stenophylla,2015,Group 2,7,750,18.75
Acacia stenophylla,2015,Group 2,8,754,18.85
Acacia stenophylla,2015,Group 2,9,686,17.15
Acacia stenophylla,2015,Group 2,10,460,11.5
Acacia stenophylla,2015,Group 2,11,198,4.95
Acacia stenophylla,2015,Group 2,12,87,2.175
Acacia stenophylla,2015,Group 2,13,22,0.55
Acacia stenophylla,2015,Group 2,14,3,0.075
Acacia stenophylla,2015,Group 3,0,5,0.125
Acacia stenophylla,2015,Group 3,1,25,0.625
Acacia stenophylla,2015,Group 3,2,95,2.375
Acacia stenophylla,2015,Group 3,3,283,7.075
Acacia stenophylla,2015,Group 3,4,495,12.375
Acacia stenophylla,2015,Group 3,5,702,17.55
Acacia stenophylla,2015,Group 3,6,801,20.025
Acacia stenophylla,2015,Group 3,7,669,16.725
Acacia stenophylla,2015,Group 3,8,498,12.45
Acacia stenophylla,2015,Group 3,9,260,6.5
Acacia stenophylla,2015,Group 3,10,115,2.875
Acacia stenophylla,2015,Group 3,11,41,1.025
Acacia stenophylla,2015,Group 3,12,11,0.275
Acacia stenophylla,2016,Group 2,1,1,0.025
Acacia stenophylla,2016,Group 2,2,5,0.125
Acacia stenophylla,2016,Group 2,3,16,0.4
Acacia stenophylla,2016,Group 2,4,63,1.575
Acacia stenophylla,2016,Group 2,5,176,4.4
Acacia stenophylla,2016,Group 2,6,369,9.225
Acacia stenophylla,2016,Group 2,7,601,15.025
Acacia stenophylla,2016,Group 2,8,800,20
Acacia stenophylla,2016,Group 2,9,759,18.975
Acacia stenophylla,2016,Group 2,10,622,15.55
Acacia stenophylla,2016,Group 2,11,388,9.7
Acacia stenophylla,2016,Group 2,12,156,3.9
Acacia stenophylla,2016,Group 2,13,41,1.025
Acacia stenophylla,2016,Group 2,14,3,0.075
Acacia stenophylla,2016,Group 3,1,4,0.1
Acacia stenophylla,2016,Group 3,2,26,0.65
Acacia stenophylla,2016,Group 3,3,81,2.025
Acacia stenophylla,2016,Group 3,4,235,5.875
Acacia stenophylla,2016,Group 3,5,412,10.3
Acacia stenophylla,2016,Group 3,6,670,16.75
Acacia stenophylla,2016,Group 3,7,768,19.2
Acacia stenophylla,2016,Group 3,8,711,17.775
Acacia stenophylla,2016,Group 3,9,566,14.15
Acacia stenophylla,2016,Group 3,10,313,7.825
Acacia stenophylla,2016,Group 3,11,157,3.925
Acacia stenophylla,2016,Group 3,12,39,0.975
Acacia stenophylla,2016,Group 3,13,14,0.35
Acacia stenophylla,2016,Group 3,14,4,0.1
Acacia stenophylla,2018,Group 0,0,2,0.05
Acacia stenophylla,2018,Group 0,1,5,0.125
Acacia stenophylla,2018,Group 0,2,33,0.825
Acacia stenophylla,2018,Group 0,3,81,2.025
Acacia stenophylla,2018,Group 0,4,258,6.45
Acacia stenophylla,2018,Group 0,5,438,10.95
Acacia stenophylla,2018,Group 0,6,673,16.825
Acacia stenophylla,2018,Group 0,7,776,19.4
Acacia stenophylla,2018,Group 0,8,700,17.5
Acacia stenophylla,2018,Group 0,9,555,13.875
Acacia stenophylla,2018,Group 0,10,304,7.6
Acacia stenophylla,2018,Group 0,11,123,3.075
Acacia stenophylla,2018,Group 0,12,45,1.125
Acacia stenophylla,2018,Group 0,13,6,0.15
Acacia stenophylla,2018,Group 0,14,1,0.025
Acacia stenophylla,2018,Group 1,2,2,0.05
Acacia stenophylla,2018,Group 1,3,14,0.35
Acacia stenophylla,2018,Group 1,4,55,1.375
Acacia stenophylla,2018,Group 1,5,164,4.1
Acacia stenophylla,2018,Group 1,6,331,8.275
Acacia stenophylla,2018,Group 1,7,546,13.65
Acacia stenophylla,2018,Group 1,8,824,20.6
Acacia stenophylla,2018,Group 1,9,858,21.45
Acacia stenophylla,2018,Group 1,10,603,15.075
Acacia stenophylla,2018,Group 1,11,391,9.775
Acacia stenophylla,2018,Group 1,12,162,4.05
Acacia stenophylla,2018,Group 1,13,46,1.15
Acacia stenophylla,2018,Group 1,14,4,0.1
Acacia stenophylla,2018,Group 2,2,1,0.025
Acacia stenophylla,2018,Group 2,3,4,0.1
Acacia stenophylla,2018,Group 2,4,16,0.4
Acacia stenophylla,2018,Group 2,5,45,1.125
Acacia stenophylla,2018,Group 2,6,127,3.175
Acacia stenophylla,2018,Group 2,7,281,7.025
Acacia stenophylla,2018,Group 2,8,561,14.025
Acacia stenophylla,2018,Group 2,9,805,20.125
Acacia stenophylla,2018,Group 2,10,852,21.3
Acacia stenophylla,2018,Group 2,11,677,16.925
Acacia stenophylla,2018,Group 2,12,438,10.95
Acacia stenophylla,2018,Group 2,13,160,4
Acacia stenophylla,2018,Group 2,14,33,0.825
Acacia stenophylla,2018,Group 3,3,4,0.1
Acacia stenophylla,2018,Group 3,4,10,0.25
Acacia stenophylla,2018,Group 3,5,69,1.725
Acacia stenophylla,2018,Group 3,6,133,3.325
Acacia stenophylla,2018,Group 3,7,292,7.3
Acacia stenophylla,2018,Group 3,8,576,14.4
Acacia stenophylla,2018,Group 3,9,768,19.2
Acacia stenophylla,2018,Group 3,10,857,21.425
Acacia stenophylla,2018,Group 3,11,714,17.85
Acacia stenophylla,2018,Group 3,12,408,10.2
Acacia stenophylla,2018,Group 3,13,140,3.5
Acacia stenophylla,2018,Group 3,14,29,0.725
Acacia stenophylla,2018,Group 5,2,1,0.025
Acacia stenophylla,2018,Group 5,3,7,0.175
