TCI,HYDRO_GP,Transect,SPECIES,Year,medYear,time,mTCI
11,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.595
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.51
10,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.51
11,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.675
13,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.7735
13,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.7735
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.665
12,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.7225
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.728
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.728
11,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.567
11,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.675
11,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.567
7,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.24
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
7,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.24
5,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.06
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
5,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.06
8,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.225
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
8,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.225
8,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.225
11,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.675
8,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.225
7,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.24
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.665
7,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.24
6,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.12
11,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.675
6,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.12
7,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.24
11,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.63
7,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.24
10,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.486
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.76
10,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.486
8,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.3
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.665
8,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.3
11,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.567
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.76
11,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.567
7,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.24
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
7,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.24
5,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.06
11,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.72
5,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.06
3,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.015
11,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.5525
3,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.015
4,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.03
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.665
4,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.03
10,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.6
11,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.675
10,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.6
9,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.35
11,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.675
9,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.35
5,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.06
11,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.475
5,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.06
9,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.35
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.665
9,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.35
7,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.15
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.7125
7,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,0.15
5,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,0.06
12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,0.665
