time,Year,SPECIES,HYDRO_GP,n,nCheck,modMedian,modMean,modci90lo,modci90up,text
0,2018,Acacia stenophylla,Group 0,4000,4000,6,5.93025,3,9,6 (3 to 9)
0,2018,Acacia stenophylla,Group 1,4000,4000,8,7.877,5,11,8 (5 to 11)
0,2018,Acacia stenophylla,Group 2,4000,4000,9,9.358,6,12,9 (6 to 12)
0,2018,Acacia stenophylla,Group 3,4000,4000,9,8.5795,5,12,9 (5 to 12)
0,2018,Acacia stenophylla,Group 5,4000,4000,8,7.9415,5,11,8 (5 to 11)
0,2018,Acacia stenophylla,mixed,4000,4000,10,9.8905,6,13,10 (6 to 13)
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 1,4000,4000,7,6.80425,3,11,7 (3 to 11)
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 2,4000,4000,5,5.5345,2,10,5 (2 to 10)
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 3,4000,4000,7,7.32925,3,12,7 (3 to 12)
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 5,4000,4000,8,8.08325,4,12,8 (4 to 12)
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,mixed,4000,4000,11,10.85925,8,13,11 (8 to 13)
0,2018,Eucalyptus largiflorens,Group 0,4000,4000,9,8.971,6,12,9 (6 to 12)
0,2018,Eucalyptus largiflorens,Group 1,4000,4000,10,9.9865,6,13,10 (6 to 13)
0,2018,Eucalyptus largiflorens,Group 2,4000,4000,13,12.51975,10,14,13 (10 to 14)
0,2018,Eucalyptus largiflorens,Group 3,4000,4000,13,12.219,9,14,13 (9 to 14)
0,2018,Eucalyptus largiflorens,Group 5,4000,4000,6,6.401,2,11,6 (2 to 11)
0,2018,Eucalyptus largiflorens,mixed,4000,4000,12,12.254,10,14,12 (10 to 14)
