time,Year,SPECIES,HYDRO_GP,n,nCheck,modMedian,modMean,modci90lo,modci90up
-3,2015,Acacia stenophylla,Group 2,4000,4000,8,7.664,4,11
-3,2015,Acacia stenophylla,Group 3,4000,4000,7,6.6775,3,10
-3,2015,Acacia stenophylla,mixed,4000,4000,5,5.80125,0,12
-3,2015,Eucalyptus camaldulensis ssp. camaldulensis,Group 2,4000,4000,3,3.88575,0,10
-3,2015,Eucalyptus camaldulensis ssp. camaldulensis,Group 3,4000,4000,5,5.719,1,12
-3,2015,Eucalyptus camaldulensis ssp. camaldulensis,Group 5,4000,4000,3,3.531,0,8
-3,2015,Eucalyptus camaldulensis ssp. camaldulensis,mixed,4000,4000,7,6.782,0,14
-3,2015,Eucalyptus largiflorens,Group 1,4000,4000,6,6.167,2,11
-3,2015,Eucalyptus largiflorens,Group 2,4000,4000,11,10.9065,6,14
-3,2015,Eucalyptus largiflorens,Group 3,4000,4000,4,3.8825,0,9
-3,2015,Eucalyptus largiflorens,mixed,4000,4000,11,9.5835,2,14
-2,2016,Acacia stenophylla,Group 2,4000,4000,8,8.23625,5,12
-2,2016,Acacia stenophylla,Group 3,4000,4000,7,7.3605,4,11
-2,2016,Acacia stenophylla,mixed,4000,4000,7,6.9985,2,12
-2,2016,Eucalyptus camaldulensis ssp. camaldulensis,Group 2,4000,4000,4,4.30425,0,9
-2,2016,Eucalyptus camaldulensis ssp. camaldulensis,Group 3,4000,4000,6,6.1445,1,11
-2,2016,Eucalyptus camaldulensis ssp. camaldulensis,Group 5,4000,4000,5,4.825,1,9
-2,2016,Eucalyptus camaldulensis ssp. camaldulensis,mixed,4000,4000,8,7.93325,1,13
-2,2016,Eucalyptus largiflorens,Group 1,4000,4000,8,7.51825,3,12
-2,2016,Eucalyptus largiflorens,Group 2,4000,4000,12,11.577,8,14
-2,2016,Eucalyptus largiflorens,Group 3,4000,4000,7,6.92525,2,11
-2,2016,Eucalyptus largiflorens,mixed,4000,4000,11,10.75225,6,14
0,2018,Acacia stenophylla,Group 0,4000,4000,6,5.93025,3,9
0,2018,Acacia stenophylla,Group 1,4000,4000,8,7.877,5,11
0,2018,Acacia stenophylla,Group 2,4000,4000,9,9.358,6,12
0,2018,Acacia stenophylla,Group 3,4000,4000,9,8.5795,5,12
0,2018,Acacia stenophylla,Group 5,4000,4000,8,7.9415,5,11
0,2018,Acacia stenophylla,mixed,4000,4000,10,9.8905,6,13
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 1,4000,4000,7,6.80425,3,11
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 2,4000,4000,5,5.5345,2,10
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 3,4000,4000,7,7.32925,3,12
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 5,4000,4000,8,8.08325,4,12
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,mixed,4000,4000,11,10.85925,8,13
0,2018,Eucalyptus largiflorens,Group 0,4000,4000,9,8.971,6,12
0,2018,Eucalyptus largiflorens,Group 1,4000,4000,10,9.9865,6,13
0,2018,Eucalyptus largiflorens,Group 2,4000,4000,13,12.51975,10,14
0,2018,Eucalyptus largiflorens,Group 3,4000,4000,13,12.219,9,14
0,2018,Eucalyptus largiflorens,Group 5,4000,4000,6,6.401,2,11
0,2018,Eucalyptus largiflorens,mixed,4000,4000,12,12.254,10,14
