HydroGp,Species,Year,direction,n,prob
Group 1,BB,2015,Higher,2294,57.35
Group 1,BB,2016,Higher,2270,56.75
Group 1,BB,2018,Higher,2302,57.55
Group 3,BB,2015,Higher,2737,68.425
Group 3,BB,2016,Higher,2507,62.675
Group 3,BB,2018,Higher,2094,52.35
Group 3,Cooba,2015,Higher,2666,66.65
Group 3,Cooba,2016,Higher,2713,67.825
Group 3,Cooba,2018,Higher,2748,68.7
Group 3,RRG,2015,Higher,2673,66.825
Group 3,RRG,2016,Higher,2396,59.9
Group 3,RRG,2018,Higher,1685,42.125
Group 5,RRG,2015,Higher,3447,86.175
Group 5,RRG,2016,Higher,3098,77.45
Group 5,RRG,2018,Higher,1740,43.5
Group 1,BB,2015,Lower,1706,42.65
Group 1,BB,2016,Lower,1730,43.25
Group 1,BB,2018,Lower,1698,42.45
Group 3,BB,2015,Lower,1263,31.575
Group 3,BB,2016,Lower,1493,37.325
Group 3,BB,2018,Lower,1906,47.65
Group 3,Cooba,2015,Lower,1334,33.35
Group 3,Cooba,2016,Lower,1287,32.175
Group 3,Cooba,2018,Lower,1252,31.3
Group 3,RRG,2015,Lower,1327,33.175
Group 3,RRG,2016,Lower,1604,40.1
Group 3,RRG,2018,Lower,2315,57.875
Group 5,RRG,2015,Lower,553,13.825
Group 5,RRG,2016,Lower,902,22.55
Group 5,RRG,2018,Lower,2260,56.5
Group 1,BB,2015,Same,0,0
Group 1,BB,2016,Same,0,0
Group 1,BB,2018,Same,0,0
Group 3,BB,2015,Same,0,0
Group 3,BB,2016,Same,0,0
Group 3,BB,2018,Same,0,0
Group 3,Cooba,2015,Same,0,0
Group 3,Cooba,2016,Same,0,0
Group 3,Cooba,2018,Same,0,0
Group 3,RRG,2015,Same,0,0
Group 3,RRG,2016,Same,0,0
Group 3,RRG,2018,Same,0,0
Group 5,RRG,2015,Same,0,0
Group 5,RRG,2016,Same,0,0
Group 5,RRG,2018,Same,0,0
