time,Year,Species,HydroGp,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
-1.5,2015,BB,Group 2,4e3,4e3,0.209,0.209,-0.105,0.513,0.618,0.618 (-0.105 to 0.513)
-1.5,2015,BB,Group 1,4e3,4e3,0.259,0.255,-0.042,0.533,0.575,0.575 (-0.042 to 0.533)
-1.5,2015,BB,Group 3,4e3,4e3,0.336,0.335,0.031,0.636,0.605,0.605 (0.031 to 0.636)
-1.5,2015,Cooba,Group 2,4e3,4e3,0.262,0.257,-0.056,0.563,0.618,0.618 (-0.056 to 0.563)
-1.5,2015,Cooba,Group 3,4e3,4e3,0.392,0.392,-0.095,0.865,0.96,0.96 (-0.095 to 0.865)
-1.5,2015,RRG,Group 2,4e3,4e3,0.199,0.201,-0.134,0.536,0.67,0.67 (-0.134 to 0.536)
-1.5,2015,RRG,Group 3,4e3,4e3,0.334,0.337,-0.153,0.823,0.976,0.976 (-0.153 to 0.823)
-1.5,2015,RRG,Group 5,4e3,4e3,0.539,0.54,0.168,0.92,0.752,0.752 (0.168 to 0.92)
-0.5,2016,BB,Group 2,4e3,4e3,0.333,0.332,0.034,0.635,0.601,0.601 (0.034 to 0.635)
-0.5,2016,BB,Group 1,4e3,4e3,0.374,0.37,0.08,0.653,0.573,0.573 (0.08 to 0.653)
-0.5,2016,BB,Group 3,4e3,4e3,0.411,0.416,0.11,0.73,0.619,0.619 (0.11 to 0.73)
-0.5,2016,Cooba,Group 2,4e3,4e3,0.318,0.319,0.017,0.636,0.619,0.619 (0.017 to 0.636)
-0.5,2016,Cooba,Group 3,4e3,4e3,0.446,0.442,0.062,0.808,0.746,0.746 (0.062 to 0.808)
-0.5,2016,RRG,Group 2,4e3,4e3,0.35,0.349,0.022,0.673,0.651,0.651 (0.022 to 0.673)
-0.5,2016,RRG,Group 3,4e3,4e3,0.413,0.419,0.018,0.833,0.816,0.816 (0.018 to 0.833)
-0.5,2016,RRG,Group 5,4e3,4e3,0.555,0.559,0.232,0.884,0.652,0.652 (0.232 to 0.884)
1.5,2018,BB,Group 2,4e3,4e3,0.568,0.567,0.267,0.87,0.603,0.603 (0.267 to 0.87)
1.5,2018,BB,Group 1,4e3,4e3,0.613,0.612,0.33,0.9,0.57,0.57 (0.33 to 0.9)
1.5,2018,BB,Group 3,4e3,4e3,0.579,0.577,0.273,0.884,0.611,0.611 (0.273 to 0.884)
1.5,2018,Cooba,Group 2,4e3,4e3,0.435,0.436,0.134,0.735,0.601,0.601 (0.134 to 0.735)
1.5,2018,Cooba,Group 3,4e3,4e3,0.558,0.56,0.22,0.895,0.675,0.675 (0.22 to 0.895)
1.5,2018,RRG,Group 2,4e3,4e3,0.633,0.636,0.291,0.978,0.686,0.686 (0.291 to 0.978)
1.5,2018,RRG,Group 3,4e3,4e3,0.582,0.579,0.203,0.943,0.741,0.741 (0.203 to 0.943)
1.5,2018,RRG,Group 5,4e3,4e3,0.589,0.587,0.205,0.964,0.759,0.759 (0.205 to 0.964)
