HydroGp,Species,Year,direction,n,prob
Group 1,BB,2015,Higher,2322,58.05
Group 1,BB,2016,Higher,2306,57.65
Group 1,BB,2018,Higher,2307,57.675
Group 3,BB,2015,Higher,2812,70.3
Group 3,BB,2016,Higher,2537,63.425
Group 3,BB,2018,Higher,2072,51.8
Group 3,Cooba,2015,Higher,2746,68.65
Group 3,Cooba,2016,Higher,2881,72.025
Group 3,Cooba,2018,Higher,2879,71.975
Group 3,RRG,2015,Higher,2644,66.1
Group 3,RRG,2016,Higher,2464,61.6
Group 3,RRG,2018,Higher,1700,42.5
Group 5,RRG,2015,Higher,3472,86.8
Group 5,RRG,2016,Higher,3157,78.925
Group 5,RRG,2018,Higher,1937,48.425
Group 1,BB,2015,Lower,1678,41.95
Group 1,BB,2016,Lower,1694,42.35
Group 1,BB,2018,Lower,1693,42.325
Group 3,BB,2015,Lower,1188,29.7
Group 3,BB,2016,Lower,1463,36.575
Group 3,BB,2018,Lower,1928,48.2
Group 3,Cooba,2015,Lower,1254,31.35
Group 3,Cooba,2016,Lower,1119,27.975
Group 3,Cooba,2018,Lower,1121,28.025
Group 3,RRG,2015,Lower,1356,33.9
Group 3,RRG,2016,Lower,1536,38.4
Group 3,RRG,2018,Lower,2300,57.5
Group 5,RRG,2015,Lower,528,13.2
Group 5,RRG,2016,Lower,843,21.075
Group 5,RRG,2018,Lower,2063,51.575
Group 1,BB,2015,Same,0,0
Group 1,BB,2016,Same,0,0
Group 1,BB,2018,Same,0,0
Group 3,BB,2015,Same,0,0
Group 3,BB,2016,Same,0,0
Group 3,BB,2018,Same,0,0
Group 3,Cooba,2015,Same,0,0
Group 3,Cooba,2016,Same,0,0
Group 3,Cooba,2018,Same,0,0
Group 3,RRG,2015,Same,0,0
Group 3,RRG,2016,Same,0,0
Group 3,RRG,2018,Same,0,0
Group 5,RRG,2015,Same,0,0
Group 5,RRG,2016,Same,0,0
Group 5,RRG,2018,Same,0,0
