time,Year,Species,HydroGp,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
-1.5,2015,BB,Group 1,4e3,4e3,0.256,0.253,-0.018,0.52,0.539,0.539 (-0.018 to 0.52)
-1.5,2015,BB,Group 2,4e3,4e3,0.201,0.202,-0.095,0.492,0.586,0.586 (-0.095 to 0.492)
-1.5,2015,BB,Group 3,4e3,4e3,0.329,0.332,0.043,0.628,0.584,0.584 (0.043 to 0.628)
-1.5,2015,Cooba,Group 2,4e3,4e3,0.259,0.259,-0.048,0.562,0.61,0.61 (-0.048 to 0.562)
-1.5,2015,Cooba,Group 3,4e3,4e3,0.419,0.419,-0.043,0.872,0.915,0.915 (-0.043 to 0.872)
-1.5,2015,RRG,Group 2,4e3,4e3,0.194,0.195,-0.13,0.531,0.661,0.661 (-0.13 to 0.531)
-1.5,2015,RRG,Group 3,4e3,4e3,0.333,0.329,-0.154,0.813,0.967,0.967 (-0.154 to 0.813)
-1.5,2015,RRG,Group 5,4e3,4e3,0.517,0.519,0.149,0.89,0.741,0.741 (0.149 to 0.89)
-0.5,2016,BB,Group 1,4e3,4e3,0.372,0.375,0.11,0.648,0.538,0.538 (0.11 to 0.648)
-0.5,2016,BB,Group 2,4e3,4e3,0.325,0.329,0.028,0.632,0.604,0.604 (0.028 to 0.632)
-0.5,2016,BB,Group 3,4e3,4e3,0.419,0.415,0.109,0.704,0.595,0.595 (0.109 to 0.704)
-0.5,2016,Cooba,Group 2,4e3,4e3,0.317,0.319,0.026,0.614,0.588,0.588 (0.026 to 0.614)
-0.5,2016,Cooba,Group 3,4e3,4e3,0.479,0.476,0.097,0.845,0.748,0.748 (0.097 to 0.845)
-0.5,2016,RRG,Group 2,4e3,4e3,0.345,0.34,0.016,0.656,0.64,0.64 (0.016 to 0.656)
-0.5,2016,RRG,Group 3,4e3,4e3,0.419,0.416,0.025,0.812,0.787,0.787 (0.025 to 0.812)
-0.5,2016,RRG,Group 5,4e3,4e3,0.557,0.555,0.232,0.883,0.652,0.652 (0.232 to 0.883)
1.5,2018,BB,Group 1,4e3,4e3,0.627,0.623,0.345,0.893,0.548,0.548 (0.345 to 0.893)
1.5,2018,BB,Group 2,4e3,4e3,0.574,0.573,0.277,0.869,0.592,0.592 (0.277 to 0.869)
1.5,2018,BB,Group 3,4e3,4e3,0.577,0.581,0.291,0.886,0.595,0.595 (0.291 to 0.886)
1.5,2018,Cooba,Group 2,4e3,4e3,0.442,0.444,0.151,0.741,0.59,0.59 (0.151 to 0.741)
1.5,2018,Cooba,Group 3,4e3,4e3,0.59,0.589,0.249,0.926,0.677,0.677 (0.249 to 0.926)
1.5,2018,RRG,Group 2,4e3,4e3,0.629,0.633,0.321,0.957,0.636,0.636 (0.321 to 0.957)
1.5,2018,RRG,Group 3,4e3,4e3,0.582,0.582,0.233,0.935,0.703,0.703 (0.233 to 0.935)
1.5,2018,RRG,Group 5,4e3,4e3,0.616,0.617,0.243,0.997,0.754,0.754 (0.243 to 0.997)
