mTCI,HydroGp,Transect,Species,Year,medYear,time,TCI
0.595,Group 5,17,RRG,2016,2016.5,-0.5,11
0.7125,Group 5,17,RRG,2018,2016.5,1.5,12
0.51,Group 5,17,RRG,2015,2016.5,-1.5,10
0.51,Group 5,17,RRG,2016,2016.5,-0.5,10
0.675,Group 5,17,RRG,2018,2016.5,1.5,11
0.7735,Group 5,17,RRG,2015,2016.5,-1.5,13
0.7735,Group 5,17,RRG,2016,2016.5,-0.5,13
0.665,Group 5,17,RRG,2018,2016.5,1.5,12
0.7225,Group 5,17,RRG,2015,2016.5,-1.5,12
0.728,Group 2,16,RRG,2016,2016.5,-0.5,12
0.7125,Group 2,16,RRG,2018,2016.5,1.5,12
0.728,Group 2,16,RRG,2015,2016.5,-1.5,12
0.567,Group 2,16,RRG,2016,2016.5,-0.5,11
0.675,Group 2,16,RRG,2018,2016.5,1.5,11
0.567,Group 2,16,RRG,2015,2016.5,-1.5,11
0.24,Group 2,16,RRG,2016,2016.5,-0.5,7
0.7125,Group 2,16,RRG,2018,2016.5,1.5,12
0.24,Group 2,16,RRG,2015,2016.5,-1.5,7
0.06,Group 2,16,RRG,2016,2016.5,-0.5,5
0.7125,Group 2,16,RRG,2018,2016.5,1.5,12
0.06,Group 2,16,RRG,2015,2016.5,-1.5,5
0.225,Group 2,16,RRG,2016,2016.5,-0.5,8
0.7125,Group 2,16,RRG,2018,2016.5,1.5,12
0.225,Group 2,16,RRG,2015,2016.5,-1.5,8
0.225,Group 2,16,RRG,2016,2016.5,-0.5,8
0.675,Group 2,16,RRG,2018,2016.5,1.5,11
0.225,Group 2,16,RRG,2015,2016.5,-1.5,8
0.24,Group 2,16,RRG,2016,2016.5,-0.5,7
0.665,Group 2,16,RRG,2018,2016.5,1.5,12
0.24,Group 2,16,RRG,2015,2016.5,-1.5,7
0.12,Group 2,16,RRG,2016,2016.5,-0.5,6
0.675,Group 2,16,RRG,2018,2016.5,1.5,11
0.12,Group 2,16,RRG,2015,2016.5,-1.5,6
0.24,Group 2,16,RRG,2016,2016.5,-0.5,7
0.63,Group 2,16,RRG,2018,2016.5,1.5,11
0.24,Group 2,16,RRG,2015,2016.5,-1.5,7
0.486,Group 2,16,RRG,2016,2016.5,-0.5,10
0.76,Group 2,16,RRG,2018,2016.5,1.5,12
0.486,Group 2,16,RRG,2015,2016.5,-1.5,10
0.3,Group 2,16,RRG,2016,2016.5,-0.5,8
0.665,Group 2,16,RRG,2018,2016.5,1.5,12
0.3,Group 2,16,RRG,2015,2016.5,-1.5,8
0.567,Group 2,16,RRG,2016,2016.5,-0.5,11
0.76,Group 2,16,RRG,2018,2016.5,1.5,12
0.567,Group 2,16,RRG,2015,2016.5,-1.5,11
0.24,Group 2,16,RRG,2016,2016.5,-0.5,7
0.7125,Group 2,16,RRG,2018,2016.5,1.5,12
0.24,Group 2,16,RRG,2015,2016.5,-1.5,7
0.06,Group 2,16,RRG,2016,2016.5,-0.5,5
0.72,Group 2,16,RRG,2018,2016.5,1.5,11
0.06,Group 2,16,RRG,2015,2016.5,-1.5,5
0.015,Group 2,16,RRG,2016,2016.5,-0.5,3
0.5525,Group 2,16,RRG,2018,2016.5,1.5,11
0.015,Group 2,16,RRG,2015,2016.5,-1.5,3
0.03,Group 2,16,RRG,2016,2016.5,-0.5,4
0.665,Group 2,16,RRG,2018,2016.5,1.5,12
0.03,Group 2,16,RRG,2015,2016.5,-1.5,4
0.6,Group 2,16,RRG,2016,2016.5,-0.5,10
0.675,Group 2,16,RRG,2018,2016.5,1.5,11
0.6,Group 2,16,RRG,2015,2016.5,-1.5,10
0.35,Group 2,16,RRG,2016,2016.5,-0.5,9
