HydroGp,Species,Year,direction,n,prob
Group 1,BB,2015,Higher,2196,54.9
Group 1,BB,2016,Higher,2227,55.675
Group 1,BB,2018,Higher,2339,58.475
Group 3,BB,2015,Higher,2899,72.475
Group 3,BB,2016,Higher,2630,65.75
Group 3,BB,2018,Higher,2104,52.6
Group 3,Cooba,2015,Higher,2910,72.75
Group 3,Cooba,2016,Higher,3032,75.8
Group 3,Cooba,2018,Higher,3095,77.375
Group 3,RRG,2015,Higher,2844,71.1
Group 3,RRG,2016,Higher,2559,63.975
Group 3,RRG,2018,Higher,1618,40.45
Group 5,RRG,2015,Higher,3376,84.4
Group 5,RRG,2016,Higher,3073,76.825
Group 5,RRG,2018,Higher,1972,49.3
Group 1,BB,2015,Lower,1804,45.1
Group 1,BB,2016,Lower,1773,44.325
Group 1,BB,2018,Lower,1661,41.525
Group 3,BB,2015,Lower,1101,27.525
Group 3,BB,2016,Lower,1370,34.25
Group 3,BB,2018,Lower,1896,47.4
Group 3,Cooba,2015,Lower,1090,27.25
Group 3,Cooba,2016,Lower,968,24.2
Group 3,Cooba,2018,Lower,905,22.625
Group 3,RRG,2015,Lower,1156,28.9
Group 3,RRG,2016,Lower,1441,36.025
Group 3,RRG,2018,Lower,2382,59.55
Group 5,RRG,2015,Lower,624,15.6
Group 5,RRG,2016,Lower,927,23.175
Group 5,RRG,2018,Lower,2028,50.7
Group 1,BB,2015,Same,0,0
Group 1,BB,2016,Same,0,0
Group 1,BB,2018,Same,0,0
Group 3,BB,2015,Same,0,0
Group 3,BB,2016,Same,0,0
Group 3,BB,2018,Same,0,0
Group 3,Cooba,2015,Same,0,0
Group 3,Cooba,2016,Same,0,0
Group 3,Cooba,2018,Same,0,0
Group 3,RRG,2015,Same,0,0
Group 3,RRG,2016,Same,0,0
Group 3,RRG,2018,Same,0,0
Group 5,RRG,2015,Same,0,0
Group 5,RRG,2016,Same,0,0
Group 5,RRG,2018,Same,0,0
