time,Year,Species,HydroGp,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
-1.5,2015,BB,Group 2,4e3,4e3,0.183,0.218,0.02,0.531,0.511,0.511 (0.02 to 0.531)
-1.5,2015,BB,Group 1,4e3,4e3,0.215,0.244,0.035,0.551,0.515,0.515 (0.035 to 0.551)
-1.5,2015,BB,Group 3,4e3,4e3,0.346,0.361,0.078,0.695,0.617,0.617 (0.078 to 0.695)
-1.5,2015,Cooba,Group 2,4e3,4e3,0.217,0.246,0.025,0.563,0.537,0.537 (0.025 to 0.563)
-1.5,2015,Cooba,Group 3,4e3,4e3,0.428,0.446,0.04,0.911,0.871,0.871 (0.04 to 0.911)
-1.5,2015,RRG,Group 2,4e3,4e3,0.153,0.195,0.008,0.522,0.514,0.514 (0.008 to 0.522)
-1.5,2015,RRG,Group 3,4e3,4e3,0.331,0.367,0.012,0.848,0.835,0.835 (0.012 to 0.848)
-1.5,2015,RRG,Group 5,4e3,4e3,0.492,0.488,0.104,0.877,0.773,0.773 (0.104 to 0.877)
-0.5,2016,BB,Group 2,4e3,4e3,0.289,0.315,0.057,0.652,0.595,0.595 (0.057 to 0.652)
-0.5,2016,BB,Group 1,4e3,4e3,0.335,0.349,0.087,0.665,0.579,0.579 (0.087 to 0.665)
-0.5,2016,BB,Group 3,4e3,4e3,0.424,0.427,0.119,0.758,0.639,0.639 (0.119 to 0.758)
-0.5,2016,Cooba,Group 2,4e3,4e3,0.278,0.299,0.047,0.625,0.578,0.578 (0.047 to 0.625)
-0.5,2016,Cooba,Group 3,4e3,4e3,0.498,0.5,0.119,0.895,0.776,0.776 (0.119 to 0.895)
-0.5,2016,RRG,Group 2,4e3,4e3,0.29,0.311,0.044,0.666,0.622,0.622 (0.044 to 0.666)
-0.5,2016,RRG,Group 3,4e3,4e3,0.402,0.414,0.058,0.838,0.78,0.78 (0.058 to 0.838)
-0.5,2016,RRG,Group 5,4e3,4e3,0.53,0.528,0.173,0.866,0.693,0.693 (0.173 to 0.866)
1.5,2018,BB,Group 2,4e3,4e3,0.557,0.553,0.215,0.868,0.653,0.653 (0.215 to 0.868)
1.5,2018,BB,Group 1,4e3,4e3,0.629,0.613,0.288,0.894,0.606,0.606 (0.288 to 0.894)
1.5,2018,BB,Group 3,4e3,4e3,0.584,0.574,0.23,0.875,0.645,0.645 (0.23 to 0.875)
1.5,2018,Cooba,Group 2,4e3,4e3,0.422,0.431,0.12,0.778,0.658,0.658 (0.12 to 0.778)
1.5,2018,Cooba,Group 3,4e3,4e3,0.644,0.628,0.246,0.936,0.691,0.691 (0.246 to 0.936)
1.5,2018,RRG,Group 2,4e3,4e3,0.632,0.614,0.242,0.922,0.679,0.679 (0.242 to 0.922)
1.5,2018,RRG,Group 3,4e3,4e3,0.559,0.549,0.166,0.897,0.73,0.73 (0.166 to 0.897)
1.5,2018,RRG,Group 5,4e3,4e3,0.622,0.606,0.188,0.954,0.766,0.766 (0.188 to 0.954)
