mTCI,HYDRO_GP,Transect,SPECIES,Year,medYear,time,TCI
0.595,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,11
0.7125,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.51,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,10
0.51,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,10
0.675,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.7735,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,13
0.7735,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,13
0.665,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.7225,Group 5,17,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,12
0.728,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,12
0.7125,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.728,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,12
0.567,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,11
0.675,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.567,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,11
0.24,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,7
0.7125,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.24,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,7
0.06,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,5
0.7125,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.06,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,5
0.225,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,8
0.7125,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.225,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,8
0.225,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,8
0.675,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.225,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,8
0.24,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,7
0.665,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.24,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,7
0.12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,6
0.675,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.12,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,6
0.24,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,7
0.63,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,11
0.24,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,7
0.486,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2016,2018,-2,10
0.76,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2018,2018,0,12
0.486,Group 2,16,Eucalyptus camaldulensis ssp. camaldulensis,2015,2018,-3,10
