time,Year,SPECIES,HYDRO_GP,n,nCheck,modMedian,modMean,modci90lo,modci90up
-3,2015,Acacia stenophylla,Group 2,4000,4000,0.20828494686203253,0.25686438865618666,0.01007077536986684,0.669568661783819
-3,2015,Acacia stenophylla,Group 3,4000,4000,0.17960855897588415,0.23690683351529906,0.004747312172254357,0.6558279541574584
-3,2015,Acacia stenophylla,mixed,4000,4000,0.4874340483880637,0.49593040694182755,0.0021305210577050367,0.9975816151887844
-3,2015,Eucalyptus camaldulensis ssp. camaldulensis,Group 2,4000,4000,0.027195452057590212,0.12841927047548407,1.8040478830991406e-17,0.5783016428460621
-3,2015,Eucalyptus camaldulensis ssp. camaldulensis,Group 3,4000,4000,0.1408482502661762,0.2522029495391686,1.0119537156656729e-7,0.8429013547380517
-3,2015,Eucalyptus camaldulensis ssp. camaldulensis,Group 5,4000,4000,0.03679401527348215,0.11268780021813017,1.0378700232713874e-7,0.4782292157252919
-3,2015,Eucalyptus camaldulensis ssp. camaldulensis,mixed,4000,4000,0.5662439806334971,0.5336029128548354,7.385984342161442e-6,0.9999999992350365
-3,2015,Eucalyptus largiflorens,Group 1,4000,4000,0.16454994786215532,0.24439848692932004,3.1630543002548534e-4,0.7389703047494224
-3,2015,Eucalyptus largiflorens,Group 2,4000,4000,0.5741605916596881,0.5517855719724654,0.0414340346668686,0.9904238465270068
-3,2015,Eucalyptus largiflorens,Group 3,4000,4000,0.059490768420436095,0.15279092785999496,5.4378069100763196e-8,0.5932124561399167
-3,2015,Eucalyptus largiflorens,mixed,4000,4000,0.9415779712074457,0.77789497908615,0.08327751304620803,1
-2,2016,Acacia stenophylla,Group 2,4000,4000,0.2579320218172695,0.29980281204527975,0.01758959924897083,0.7095590805229172
-2,2016,Acacia stenophylla,Group 3,4000,4000,0.22591512193610344,0.27022877965372766,0.015627769582704693,0.6841757910831571
-2,2016,Acacia stenophylla,mixed,4000,4000,0.48942962559118425,0.4903341031730116,0.032219975856756504,0.9633329982993977
-2,2016,Eucalyptus camaldulensis ssp. camaldulensis,Group 2,4000,4000,0.049636449100367526,0.14307419874824046,2.9394578918684066e-9,0.5889657194927437
-2,2016,Eucalyptus camaldulensis ssp. camaldulensis,Group 3,4000,4000,0.17925491277425218,0.2628034397144173,5.95434161748665e-5,0.7857877299018691
-2,2016,Eucalyptus camaldulensis ssp. camaldulensis,Group 5,4000,4000,0.10079644038977983,0.1732552450735853,8.214864065976803e-5,0.5959439370332553
-2,2016,Eucalyptus camaldulensis ssp. camaldulensis,mixed,4000,4000,0.5908869838947846,0.5562560547189596,0.00679338714006011,0.9996516096394431
-2,2016,Eucalyptus largiflorens,Group 1,4000,4000,0.26735126110952534,0.32593261633177834,0.005224023008615986,0.8386424691344135
-2,2016,Eucalyptus largiflorens,Group 2,4000,4000,0.6911494244478653,0.6420960846645223,0.11170813830139512,0.9959455515446248
-2,2016,Eucalyptus largiflorens,Group 3,4000,4000,0.2516237568230556,0.3082766903919907,0.00324314772858715,0.8124637082815593
-2,2016,Eucalyptus largiflorens,mixed,4000,4000,0.9150312383091612,0.7993888062095994,0.24632664056920742,0.9999999980390134
0,2018,Acacia stenophylla,Group 0,4000,4000,0.10281131246775774,0.16380625203791094,9.208525968877199e-4,0.5319997310557447
0,2018,Acacia stenophylla,Group 1,4000,4000,0.2988751137122425,0.3309252949058788,0.0319523792583637,0.735608195240208
0,2018,Acacia stenophylla,Group 2,4000,4000,0.3832904799465021,0.40522815097193143,0.05147485610220389,0.823668508043123
0,2018,Acacia stenophylla,Group 3,4000,4000,0.2988234784127026,0.335867075237187,0.029346568751747838,0.7646008187196146
0,2018,Acacia stenophylla,Group 5,4000,4000,0.22757746129529255,0.2733425944465077,0.016045129288104785,0.6828233215269361
0,2018,Acacia stenophylla,mixed,4000,4000,0.45376698002030713,0.46179304812531347,0.07108209297591767,0.8855801199005398
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 1,4000,4000,0.21330975958198198,0.2711155388782666,0.005088243109941236,0.7290929253374662
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 2,4000,4000,0.11601819527055376,0.1868135111659267,3.558182172908119e-4,0.6135551114534705
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 3,4000,4000,0.2704586598641071,0.32019819608158995,0.007727668901342202,0.8047569998997051
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,Group 5,4000,4000,0.3561035418063858,0.38347879228957915,0.023600069619594467,0.8501168217555465
0,2018,Eucalyptus camaldulensis ssp. camaldulensis,mixed,4000,4000,0.6243527644865665,0.6001842050821655,0.19184176711819872,0.9396736334319026
0,2018,Eucalyptus largiflorens,Group 0,4000,4000,0.37927831555054614,0.39687915693290254,0.06221822163154604,0.803216629499523
0,2018,Eucalyptus largiflorens,Group 1,4000,4000,0.5423107424982383,0.5337029064345433,0.06799821285213271,0.9641109214246409
0,2018,Eucalyptus largiflorens,Group 2,4000,4000,0.8754676618720203,0.7925646021308546,0.31175639526602583,0.9999209082411993
0,2018,Eucalyptus largiflorens,Group 3,4000,4000,0.8316611457200545,0.7657452167446309,0.3109778897431381,0.9992589515013957
0,2018,Eucalyptus largiflorens,Group 5,4000,4000,0.17346960083274787,0.23471849181060175,0.0020345436512824427,0.6764424469061329
0,2018,Eucalyptus largiflorens,mixed,4000,4000,0.8232643623946254,0.768751221967571,0.3386487468525301,0.9971315267897218
